NumberOfEpochs,TrainingLoss
1,8.894194597243697
2,7.542664274949126
3,6.145663657016075
4,5.265263463473348
5,4.623139168813538
6,4.09335357354102
7,3.704247099399798
8,3.3846780247124246
9,3.095051593779519
10,2.8691920634083066
11,2.691244317140187
12,2.540184549122381
13,2.4020474549412856
14,2.287373111202061
15,2.1847009773276107
16,2.0850596312704597
17,1.992212240451864
18,1.9083902641319952
19,1.8378559610752734
20,1.775801670123086
21,1.7191660147176102
22,1.6714681658267456
23,1.6259115570363762
24,1.5840486293819458
25,1.545325462296586
26,1.5094068890546812
27,1.4747763414233734
28,1.4423488794479233
29,1.4121238156863667
30,1.3847189384487189
31,1.3593037568840982
32,1.3358332428506403
33,1.314233762701557
34,1.295167276373861
35,1.2778905536469793
36,1.2617454552638259
37,1.2483311088854327
38,1.236881054847183
39,1.2258329993928125
40,1.2149794798557845
41,1.204525618494849
42,1.1945415038369862
43,1.1847022071544389
44,1.175083548483198
45,1.1656538977649578
46,1.1566469298073123
47,1.1482640563530833
48,1.140281907645815
49,1.1331138614644272
50,1.1265158565176971
51,1.120235489976275
52,1.1145738154246774
53,1.109262519133125
54,1.1039458131988253
55,1.0986627473376667
56,1.093332550537082
57,1.0880838674972904
58,1.0832027059032636
59,1.0792603916407708
60,1.0755715156010994
61,1.0719139935495041
62,1.0681972842464322
63,1.064463610502269
64,1.060793539577148
65,1.0573152452076533
66,1.0539341359648238
67,1.0505734630409584
68,1.0473293346057002
69,1.044128024729967
70,1.0409314608191875
71,1.0377362736474227
72,1.0345481432649104
73,1.031416789609171
74,1.0282470975402198
75,1.0250385004327918
76,1.0218268523562106
77,1.0186318868955293
78,1.015508975192647
79,1.0125856590609985
80,1.0096905988571472
81,1.006823053685433
82,1.0039816535318045
83,1.0012569648392038
84,0.9985809041501231
85,0.9959250197370006
86,0.9932877535284198
87,0.9907032811093787
88,0.9882687136558943
89,0.9858855150074655
90,0.9835133614294985
91,0.9811512132305609
92,0.9787981157470282
93,0.976475918090242
94,0.974248478113875
95,0.9720271885310385
96,0.9698113484378542
97,0.9676920678150948
98,0.9655815859052944
99,0.9634720424589391
100,0.9613498306555152
101,0.9592166274968826
102,0.9570775657713184
103,0.9549712974950194
104,0.9529373422558818
105,0.9509048090002263
106,0.9489047228035797
107,0.9469298709870712
108,0.9451365201287365
109,0.9434548340451299
110,0.9418238377272579
111,0.9402180191677508
112,0.9386245730562874
113,0.9370366336552666
114,0.9354675823080895
115,0.9339203064364595
116,0.9323868304269819
117,0.9308599668699697
118,0.9293350215611528
119,0.9278243890095221
120,0.9263272980494415
121,0.9248264450493592
122,0.9233211743685946
123,0.9218110947205643
124,0.9202959786403
125,0.9188012994636756
126,0.9173292184282508
127,0.9158734662232884
128,0.9144298910791006
129,0.912995054700769
130,0.9116279451741569
131,0.9102962508401347
132,0.9089674270606506
133,0.9076405463835471
134,0.9063149688754624
135,0.9049933895570762
136,0.9037185943372513
137,0.9025360087889106
138,0.9013974713127269
139,0.9003822447350838
140,0.899401024840318
141,0.8984258198397281
142,0.8974535587565472
143,0.8964823512523683
144,0.8955504272168806
145,0.8946313628159936
146,0.8937106821782448
147,0.8928168494705397
148,0.8919321162687603
149,0.8910448796739193
150,0.8901550558572493
151,0.8892625937336871
152,0.8883786589527735
153,0.887507778661114
154,0.88664647763754
155,0.8857909208406778
156,0.8849382273883863
157,0.8840863808582685
158,0.8832339995468834
159,0.882380148876673
160,0.8815242065174359
161,0.880665768065419
162,0.8798045815270346
163,0.878940501877933
164,0.8780734595450979
165,0.8772034385306914
166,0.8763304612107877
167,0.8754545777543888
168,0.8745758587405721
169,0.8736943899895859
170,0.8728102689262432
171,0.8719236020039467
172,0.8710345028615305
173,0.8701430909867369
174,0.8692494907288632
175,0.8683538305517479
176,0.867456242451309
177,0.8665568614853729
178,0.865655825379576
179,0.8647532741845128
180,0.8638491285810331
181,0.8629306154592401
182,0.8619961866090893
183,0.8610473200985952
184,0.8601464736205315
185,0.8592729417241524
186,0.8584131290037716
187,0.8575596601446018
188,0.8567168007244444
189,0.8559375365256413
190,0.8551745031324879
191,0.8544080894571547
192,0.8536376175838275
193,0.8528626421469744
194,0.8520828687412931
195,0.8512981030031053
196,0.8505082184509414
197,0.8497790755975153
198,0.8491095683506267
199,0.8484675414227639
200,0.8478434291693266
201,0.8472307927810208
202,0.8466251612675696
203,0.8460234007359427
204,0.8454233043859064
205,0.8448233136808072
206,0.84422232623906
207,0.8436195626157148
208,0.843014473435746
209,0.8424066743273572
210,0.8417959001010493
211,0.8411819723184961
212,0.8405647762242104
213,0.8399442442584188
214,0.8393203442213059
215,0.8386930707424445
216,0.8380624391116229
217,0.8374284808067913
218,0.8367912402475979
219,0.8361507724391776
220,0.8355071412653918
221,0.8348604182583522
222,0.8342106817186726
223,0.8335580160943502
224,0.8329025115511377
225,0.8322442636847961
226,0.83158337333807
227,0.8309199464946746
