NumberOfEpochs,TrainingLoss
1,2.3574420277236348
2,1.708529553210003
3,1.271500069249665
4,1.0286776824878643
5,0.8999016637034243
6,0.8233448371961917
7,0.7734240456027651
8,0.7353545317394728
9,0.7051996945514921
10,0.6824708763505957
11,0.6636437587578806
12,0.6467997704832449
13,0.6309208118514675
14,0.615496529592472
15,0.6013284543662469
16,0.5878165968535383
17,0.5757427176854573
18,0.5654375910369711
19,0.5576459294164694
20,0.5515494841212975
21,0.5464899572517428
22,0.5423282255123572
23,0.5391090644538159
24,0.5361561315892753
25,0.5334455516450661
26,0.5317937654422769
27,0.5305472065240501
28,0.5297876084960969
29,0.5294169614514359
30,0.5294268477441593
31,0.5295384267751287
32,0.5297384697464249
33,0.5300115663908336
34,0.5303384236218758
35,0.5307018074056971
36,0.531267426879137
37,0.5320383067027727
38,0.5329032363876138
39,0.5338867052057176
40,0.5347296400056321
41,0.5354463986372586
42,0.5361605524691554
43,0.5369684230451817
44,0.5378908298293031
45,0.5387413849746924
46,0.5395160460607554
47,0.5402158560656698
48,0.5408453191300276
49,0.5414117779920982
50,0.5419246341549677
51,0.5423941657628917
52,0.5428335310755704
53,0.5432654296572702
54,0.5436992405130556
55,0.544420845054488
56,0.5451642660612125
57,0.5459149345396943
58,0.546799206685619
59,0.5476690263490199
60,0.548520548021811
61,0.5493435093703413
62,0.5501349377803435
63,0.5508977614739864
64,0.5516364221762492
65,0.5523556887775689
66,0.5530602556705553
67,0.553754519419676
68,0.5544424237976334
69,0.5551273631054268
70,0.5558091341117902
71,0.5564875808013099
72,0.5571653511026471
73,0.5578445215459953
74,0.5585265616136222
75,0.5592124007488106
76,0.5599025128553416
77,0.560596994091658
78,0.5612956288537289
79,0.5619979447232798
80,0.5627032587566124
81,0.5634107176484353
82,0.5641193339519035
83,0.564828019979297
84,0.5655356203581021
85,0.5662409435331921
86,0.566942791845429
87,0.5676399892564915
88,0.5683314054187217
89,0.569015974692579
90,0.5696927089463494
91,0.5703607035262528
92,0.5710191365795806
93,0.5716672628008528
94,0.5723044034676377
95,0.5729595013489789
96,0.573610092272417
97,0.5742473711805769
98,0.5748708216277748
99,0.5754799714534411
100,0.576078230589078
101,0.5766727864244943
102,0.5772620895486135
103,0.5778454623395824
104,0.57842269936848
105,0.57899389920957
106,0.5795593815346837
107,0.5801196363278456
108,0.5806752856936532
109,0.5812270512599277
110,0.581775724938386
111,0.5823221425912087
112,0.5828671607353824
113,0.5834116365039876
114,0.5839564109747432
115,0.5845022958111632
116,0.5850500630073856
117,0.5856004374132493
118,0.5861540916493068
119,0.5867116429987435
120,0.587273651875269
121,0.5878406215021146
122,0.5884129984874248
123,0.5889911740369207
124,0.5895754856000651
125,0.5901662187967636
126,0.590763609515626
127,0.5913678461111987
128,0.5919790716559084
129,0.5925973862235612
130,0.5932228491955577
131,0.5938554815898178
132,0.5944952684166397
133,0.5951421610663178
134,0.595796079731367
135,0.5964569158625028
136,0.5971245346527626
137,0.5977987775391559
138,0.598479464706339
139,0.5991663975725626
140,0.5998593612347646
141,0.6005581268472834
142,0.601262453907499
143,0.6019720924214181
144,0.6026867849230805
145,0.6034062683231197
146,0.6041302755641115
147,0.6048585370626925
148,0.605590781921331
149,0.6063267388952178
150,0.6070661371023423
151,0.607808706466996
152,0.6085541778888871
153,0.6093022831314391
154,0.610052754423935
155,0.6108053237729582
156,0.6115597219791488
157,0.6123156773559169
158,0.6130729141476063
159,0.613831150646154
160,0.6145900970077787
161,0.6153494527753679
162,0.6161183300722349
163,0.6169190807540138
164,0.6177192762364934
165,0.618514290429948
166,0.6193037039490381
167,0.6200873620905978
168,0.6208650715611926
169,0.6216366033342396
170,0.6224016944944281
171,0.6231600498792262
172,0.6239113440170918
173,0.6246552236995496
174,0.6253913114316176
175,0.6261192099397718
176,0.6268385078565815
177,0.6275487866334316
178,0.6282496286527587
179,0.6289406264169022
180,0.6296213925869472
181,0.6302915705385134
182,0.6309508450038702
183,0.6315989522937349
184,0.6322356895512785
185,0.6328609224954989
186,0.6334745911677416
187,0.6340767133020876
188,0.6346673850897362
189,0.6352467792829025
190,0.6358151407659659
